produto,quantidade,preco,estado,data_venda,codigo_venda
,3,mil,PE,2025-02-19 22:56:23.517591,VND100000
Monitor,três,2500,PR,2025-03-31 22:56:23.517615,VND100001
Headset,-1,1500,,2025-03-13 22:56:23.517618,VND100002
,três,3000,DF,2025-02-09 22:56:23.517621,VND100003
Tablet,três,nan,CE,2024-07-09 22:56:23.517627,VND100004
,3,2000,RJ,2025-02-09 22:56:23.517631,VND100005
Headset,,2000,RS,2024-07-24 22:56:23.517635,VND100006
Headset,4,2000,SC,2025-01-08 22:56:23.517640,VND100007
,3,mil,RJ,2024-09-29 22:56:23.517646,VND100008
Celular,5,nan,RJ,2024-10-18 22:56:23.517650,VND100009
Tablet,3,1000,DF,2025-04-28 22:56:23.517652,VND100010
,5,nan,BA,2024-08-06 22:56:23.517654,VND100011
Tablet,três,1000,PE,2025-05-27 22:56:23.517656,VND100012
Tablet,-1,2000,,2025-01-18 22:56:23.517658,VND100013
,3,2500,RS,2024-07-26 22:56:23.517659,VND100014
Headset,5,2500,CE,2024-08-06 22:56:23.517661,VND100015
Monitor,3,1000,BA,2024-08-03 22:56:23.517663,VND100016
,-1,2000,MG,2025-04-17 22:56:23.517665,VND100017
,três,nan,DF,2025-03-13 22:56:23.517666,VND100018
Tablet,3,2500,PE,2024-07-09 22:56:23.517668,VND100019
Teclado,2,1000,SP,2024-11-25 22:56:23.517670,VND100020
Headset,5,nan,CE,2024-07-24 22:56:23.517671,VND100021
Celular,-1,2000,BA,2025-04-20 22:56:23.517673,VND100022
,5,1500,,2025-02-09 22:56:23.517675,VND100023
Monitor,5,2000,CE,2024-07-03 22:56:23.517676,VND100024
Teclado,1,mil,PE,2025-04-30 22:56:23.517679,VND100025
Teclado,-1,2000,MG,2025-01-05 22:56:23.517680,VND100026
Celular,3,nan,MG,2024-12-11 22:56:23.517682,VND100027
,5,nan,CE,2025-04-12 22:56:23.517683,VND100028
Monitor,,3000,MG,2025-04-14 22:56:23.517685,VND100029
Headset,1,3000,BA,2025-04-22 22:56:23.517687,VND100030
Notebook,2,nan,CE,2024-09-26 22:56:23.517688,VND100031
Monitor,5,nan,BA,2024-09-16 22:56:23.517690,VND100032
Celular,três,1500,,2024-12-21 22:56:23.517692,VND100033
Teclado,5,1500,MG,2025-05-30 22:56:23.517693,VND100034
Headset,1,2000,PR,2025-03-27 22:56:23.517695,VND100035
Monitor,3,mil,SC,2024-10-02 22:56:23.517697,VND100036
Notebook,,2500,SP,2025-05-29 22:56:23.517698,VND100037
Notebook,três,mil,DF,2025-06-20 22:56:23.517700,VND100038
Tablet,2,1500,PE,2025-02-23 22:56:23.517701,VND100039
Tablet,três,2000,SP,2025-05-05 22:56:23.517704,VND100040
,5,mil,BA,2025-06-24 22:56:23.517707,VND100041
Celular,3,1000,SC,2025-02-28 22:56:23.517710,VND100042
,-1,3000,SC,2024-12-05 22:56:23.517713,VND100043
Monitor,,mil,PR,2025-01-15 22:56:23.517716,VND100044
Monitor,-1,2500,,2024-12-04 22:56:23.517719,VND100045
,,2000,RS,2025-05-28 22:56:23.517721,VND100046
,2,mil,RS,2024-07-29 22:56:23.517722,VND100047
Teclado,4,nan,BA,2024-12-29 22:56:23.517724,VND100048
Teclado,,1000,SC,2025-03-30 22:56:23.517726,VND100049
,4,3000,PR,2024-08-17 22:56:23.517727,VND100050
Teclado,-1,1000,DF,2024-07-18 22:56:23.517729,VND100051
Tablet,,2000,DF,2024-08-22 22:56:23.517730,VND100052
Monitor,2,1500,SP,2025-02-11 22:56:23.517732,VND100053
,1,3000,CE,2024-10-29 22:56:23.517734,VND100054
Monitor,2,1000,PE,2025-04-12 22:56:23.517736,VND100055
,2,1500,PR,2025-02-28 22:56:23.517737,VND100056
Notebook,1,2500,CE,2025-03-22 22:56:23.517739,VND100057
Tablet,1,2000,MG,2024-07-31 22:56:23.517740,VND100058
Headset,3,2000,DF,2024-11-29 22:56:23.517743,VND100059
Tablet,,3000,BA,2025-01-03 22:56:23.517744,VND100060
,-1,1000,PR,2024-07-09 22:56:23.517746,VND100061
Headset,3,2500,SC,2025-06-09 22:56:23.517747,VND100062
Notebook,1,nan,RJ,2025-05-05 22:56:23.517749,VND100063
,4,3000,RJ,2024-12-19 22:56:23.517751,VND100064
Celular,-1,nan,DF,2025-01-18 22:56:23.517753,VND100065
Monitor,4,3000,PR,2024-06-28 22:56:23.517754,VND100066
Notebook,2,1000,CE,2024-09-21 22:56:23.517756,VND100067
Monitor,5,2500,,2025-02-21 22:56:23.517758,VND100068
Teclado,2,1000,CE,2025-05-13 22:56:23.517759,VND100069
Celular,2,2000,PR,2024-08-05 22:56:23.517761,VND100070
Celular,5,nan,,2025-02-15 22:56:23.517763,VND100071
Notebook,,1500,PE,2025-04-23 22:56:23.517764,VND100072
Celular,1,mil,DF,2024-10-08 22:56:23.517766,VND100073
Headset,4,2000,MG,2025-04-19 22:56:23.517767,VND100074
Celular,2,2000,SP,2024-07-15 22:56:23.517769,VND100075
Monitor,5,nan,PR,2024-07-01 22:56:23.517771,VND100076
Monitor,3,3000,PE,2025-04-07 22:56:23.517773,VND100077
,2,2000,RJ,2025-02-22 22:56:23.517774,VND100078
Monitor,4,mil,CE,2024-07-18 22:56:23.517776,VND100079
,1,2500,BA,2024-07-01 22:56:23.517777,VND100080
Monitor,2,2000,DF,2025-01-14 22:56:23.517779,VND100081
Headset,2,2500,,2024-09-06 22:56:23.517781,VND100082
,,1000,CE,2025-03-23 22:56:23.517782,VND100083
,três,3000,MG,2025-02-16 22:56:23.517784,VND100084
Tablet,5,2500,PE,2025-05-04 22:56:23.517785,VND100085
Teclado,3,2000,,2025-05-01 22:56:23.517787,VND100086
Notebook,3,3000,RJ,2025-06-10 22:56:23.517788,VND100087
Monitor,-1,mil,MG,2025-04-28 22:56:23.517790,VND100088
Celular,1,3000,SP,2024-12-17 22:56:23.517791,VND100089
,-1,2500,RS,2024-09-18 22:56:23.517793,VND100090
Monitor,4,2500,BA,2024-11-16 22:56:23.517795,VND100091
Celular,1,1500,SP,2025-02-21 22:56:23.517797,VND100092
Teclado,2,1500,DF,2024-08-04 22:56:23.517799,VND100093
Teclado,três,3000,CE,2024-12-13 22:56:23.517800,VND100094
Teclado,2,nan,SC,2025-01-20 22:56:23.517802,VND100095
Celular,3,nan,SC,2025-05-28 22:56:23.517803,VND100096
Monitor,4,1500,,2025-02-03 22:56:23.517805,VND100097
Teclado,5,2000,RJ,2024-08-27 22:56:23.517807,VND100098
Headset,4,1000,PR,2025-05-28 22:56:23.517808,VND100099
,2,3000,CE,2024-07-16 22:56:23.517810,VND100100
Celular,5,1000,SC,2025-01-17 22:56:23.517812,VND100101
Celular,4,1500,,2024-11-20 22:56:23.517814,VND100102
Monitor,três,2500,PE,2025-03-03 22:56:23.517815,VND100103
Celular,três,mil,RS,2025-02-24 22:56:23.517817,VND100104
Celular,4,3000,RJ,2024-07-15 22:56:23.517818,VND100105
Teclado,5,1500,BA,2024-12-18 22:56:23.517820,VND100106
Monitor,2,2000,SP,2024-08-26 22:56:23.517822,VND100107
Teclado,4,mil,SP,2024-07-12 22:56:23.517823,VND100108
,5,3000,SC,2024-12-01 22:56:23.517826,VND100109
,,3000,RJ,2024-12-19 22:56:23.517828,VND100110
,três,nan,SC,2024-06-25 22:56:23.517829,VND100111
,,2500,SP,2024-08-28 22:56:23.517831,VND100112
Teclado,2,3000,,2025-05-30 22:56:23.517832,VND100113
,5,2500,DF,2024-10-21 22:56:23.517834,VND100114
Monitor,,1500,MG,2024-11-07 22:56:23.517836,VND100115
Notebook,5,2000,CE,2024-10-22 22:56:23.517837,VND100116
Teclado,4,mil,RJ,2024-12-25 22:56:23.517839,VND100117
,2,mil,PE,2024-09-12 22:56:23.517840,VND100118
Headset,,2000,SC,2024-11-21 22:56:23.517842,VND100119
,-1,3000,SC,2025-06-04 22:56:23.517844,VND100120
Headset,4,3000,PR,2025-02-23 22:56:23.517845,VND100121
Celular,três,1500,RS,2024-09-08 22:56:23.517847,VND100122
,-1,nan,,2025-04-18 22:56:23.517848,VND100123
Headset,-1,nan,BA,2024-10-13 22:56:23.517850,VND100124
,1,nan,SC,2025-06-02 22:56:23.517852,VND100125
